author_cell_type,mean,std,median,count,q1,q3,f_score
HAC24,0.1788261021183921,0.21671754545774355,0.24784235122032283,5000,0.06512805424674735,0.34116570402582214,0.6792736209721464
HAC5,0.15631097041145614,0.23797698075982182,0.2382519768473227,5000,0.03539934170618653,0.3396703498091041,0.6924972617743702
Rod,0.08019673890002418,0.38982832491867564,0.2139303285164536,5000,-0.1706679292957533,0.4038415035130557,0.8127919045147898
HAC53,0.07706836279241358,0.30076150394969464,0.2079378972764994,1238,-0.1304997837367275,0.31953680372432147,0.5712625871417506
HAC86,0.08651982296060269,0.27384224760165415,0.1948013686084224,94,-0.05741349592481922,0.27762307831588123,0.0374732334047109
HAC9,0.08307755806486455,0.19893478096633607,0.13091731282247676,5000,-0.05801624084949818,0.25387364291564657,0.8221797323135756
HAC15,0.012363359136199136,0.3146552254594285,0.12890857952787535,5000,-0.2915222545999615,0.30776609354265805,0.5822121092204194
ON-SAC,0.013767239129106813,0.2488173293000043,0.0864504090027147,5000,-0.16275745938692998,0.22148210656347808,0.7125696713434557
HAC77,-0.051688141398202464,0.3123598688925531,0.08233599105316014,246,-0.2568190014676397,0.1932738673400788,0.6016597510373444
HAC63,0.0451536987688839,0.2093035024997817,0.0799269475006395,677,-0.064629598632735,0.1941523049562177,0.7070938215102975
HAC66,-0.001840637250890538,0.2795349218943126,0.055086627376801395,588,-0.2374119648189743,0.2626405031438791,0.5148883374689827
HAC4,-0.004472755434228631,0.18925188015307645,0.0500356645353685,5000,-0.1113809089812558,0.14791658167638477,0.5455895795246801
ML_Cone,-0.0041208888356189495,0.2810466711315586,0.047026901918040154,5000,-0.20095723482880706,0.23070854751892936,0.7227620261229691
HAC56,-0.06164976504379641,0.3017308138558244,0.0257424889646371,1133,-0.2761432765637527,0.196343523026491,0.3948919449901768
HAC75,-0.0670562469352471,0.28194358693325366,0.0040258274767775,387,-0.21626256993536735,0.14591915500968466,0.5980271270036991
SEG*,-0.10155770932128376,0.28011970192339014,-0.028996946506855553,234,-0.3827057394718091,0.16141815543160093,0.6746031746031746
CAI,-0.13117545217102625,0.32295950506933746,-0.0324329459924651,450,-0.2536960396508364,0.11929152495104185,0.7512733446519525
